time,temperature_2m,relative_humidity_2m,wind_speed_10m,latitude,longitude
2025-04-19 00:00:00,9.6,88,9.8,52.52,13.419998
2025-04-19 01:00:00,9.4,89,11.5,52.52,13.419998
2025-04-19 02:00:00,9.3,88,9.1,52.52,13.419998
2025-04-19 03:00:00,9.0,88,9.0,52.52,13.419998
2025-04-19 04:00:00,8.8,85,9.4,52.52,13.419998
2025-04-19 05:00:00,8.7,84,8.0,52.52,13.419998
2025-04-19 06:00:00,8.6,88,8.4,52.52,13.419998
2025-04-19 07:00:00,8.8,83,7.8,52.52,13.419998
2025-04-19 08:00:00,8.8,84,9.1,52.52,13.419998
2025-04-19 09:00:00,8.8,82,11.6,52.52,13.419998
2025-04-19 10:00:00,9.1,80,9.7,52.52,13.419998
2025-04-19 11:00:00,10.0,78,7.9,52.52,13.419998
2025-04-19 12:00:00,10.7,75,9.5,52.52,13.419998
2025-04-19 13:00:00,10.4,70,9.7,52.52,13.419998
2025-04-19 14:00:00,9.7,83,10.9,52.52,13.419998
2025-04-19 15:00:00,10.2,77,10.0,52.52,13.419998
2025-04-19 16:00:00,10.3,75,8.9,52.52,13.419998
2025-04-19 17:00:00,9.7,77,8.1,52.52,13.419998
2025-04-19 18:00:00,9.5,79,8.2,52.52,13.419998
2025-04-19 19:00:00,9.7,74,7.7,52.52,13.419998
2025-04-19 20:00:00,9.8,81,8.6,52.52,13.419998
2025-04-19 21:00:00,9.7,80,8.0,52.52,13.419998
2025-04-19 22:00:00,9.2,83,7.2,52.52,13.419998
2025-04-19 23:00:00,9.3,84,6.9,52.52,13.419998
2025-04-20 00:00:00,9.1,83,6.2,52.52,13.419998
2025-04-20 01:00:00,8.7,87,4.7,52.52,13.419998
2025-04-20 02:00:00,7.7,91,4.3,52.52,13.419998
2025-04-20 03:00:00,7.4,93,5.1,52.52,13.419998
2025-04-20 04:00:00,7.2,94,5.1,52.52,13.419998
2025-04-20 05:00:00,6.3,97,5.1,52.52,13.419998
2025-04-20 06:00:00,6.3,96,4.8,52.52,13.419998
2025-04-20 07:00:00,6.5,95,5.1,52.52,13.419998
2025-04-20 08:00:00,7.1,89,4.2,52.52,13.419998
2025-04-20 09:00:00,9.1,80,3.4,52.52,13.419998
2025-04-20 10:00:00,11.4,70,5.2,52.52,13.419998
2025-04-20 11:00:00,13.9,60,5.8,52.52,13.419998
2025-04-20 12:00:00,15.3,53,5.6,52.52,13.419998
2025-04-20 13:00:00,16.5,50,4.0,52.52,13.419998
2025-04-20 14:00:00,17.8,43,3.9,52.52,13.419998
2025-04-20 15:00:00,18.6,40,2.5,52.52,13.419998
2025-04-20 16:00:00,19.1,41,3.6,52.52,13.419998
2025-04-20 17:00:00,19.9,39,4.0,52.52,13.419998
2025-04-20 18:00:00,19.6,38,5.8,52.52,13.419998
2025-04-20 19:00:00,19.4,34,5.3,52.52,13.419998
2025-04-20 20:00:00,18.9,41,0.8,52.52,13.419998
2025-04-20 21:00:00,17.6,51,5.2,52.52,13.419998
2025-04-20 22:00:00,16.4,57,3.6,52.52,13.419998
2025-04-20 23:00:00,15.5,74,3.2,52.52,13.419998
2025-04-21 00:00:00,14.8,75,2.9,52.52,13.419998
2025-04-21 01:00:00,14.3,75,3.1,52.52,13.419998
2025-04-21 02:00:00,13.2,84,1.8,52.52,13.419998
2025-04-21 03:00:00,13.4,79,8.9,52.52,13.419998
2025-04-21 04:00:00,12.9,93,3.4,52.52,13.419998
2025-04-21 05:00:00,13.4,96,3.1,52.52,13.419998
2025-04-21 06:00:00,13.2,95,4.3,52.52,13.419998
2025-04-21 07:00:00,13.4,94,2.8,52.52,13.419998
2025-04-21 08:00:00,12.9,93,4.3,52.52,13.419998
2025-04-21 09:00:00,13.7,89,5.8,52.52,13.419998
2025-04-21 10:00:00,14.3,86,6.5,52.52,13.419998
2025-04-21 11:00:00,15.4,76,7.2,52.52,13.419998
2025-04-21 12:00:00,15.9,72,9.0,52.52,13.419998
